DATE,VALUE
2016-01-04,4903.09
2016-01-05,4891.43
2016-01-06,4835.76
2016-01-07,4689.43
2016-01-08,4643.63
2016-01-11,4637.99
2016-01-12,4685.92
2016-01-13,4526.06
2016-01-14,4615.00
2016-01-15,4488.42
2016-01-18,.
2016-01-19,4476.95
2016-01-20,4471.69
2016-01-21,4472.06
2016-01-22,4591.18
2016-01-25,4518.49
2016-01-26,4567.67
2016-01-27,4468.17
2016-01-28,4506.68
2016-01-29,4613.95
2016-02-01,4620.37
2016-02-02,4516.95
2016-02-03,4504.24
2016-02-04,4509.56
2016-02-05,4363.14
2016-02-08,4283.75
2016-02-09,4268.76
2016-02-10,4283.59
2016-02-11,4266.84
2016-02-12,4337.51
2016-02-15,.
2016-02-16,4435.96
2016-02-17,4534.06
2016-02-18,4487.54
2016-02-19,4504.43
2016-02-22,4570.61
2016-02-23,4503.58
2016-02-24,4542.61
2016-02-25,4582.20
2016-02-26,4590.47
2016-02-29,4557.95
2016-03-01,4689.60
2016-03-02,4703.42
2016-03-03,4707.42
2016-03-04,4717.02
2016-03-07,4708.25
2016-03-08,4648.82
2016-03-09,4674.38
2016-03-10,4662.16
2016-03-11,4748.47
2016-03-14,4750.28
2016-03-15,4728.67
2016-03-16,4763.97
2016-03-17,4774.99
2016-03-18,4795.65
2016-03-21,4808.87
2016-03-22,4821.66
2016-03-23,4768.86
2016-03-24,4773.51
2016-03-25,.
2016-03-28,4766.79
2016-03-29,4846.62
2016-03-30,4869.29
2016-03-31,4869.85
2016-04-01,4914.54
2016-04-04,4891.80
2016-04-05,4843.93
2016-04-06,4920.72
2016-04-07,4848.37
2016-04-08,4850.69
2016-04-11,4833.40
2016-04-12,4872.09
2016-04-13,4947.42
2016-04-14,4945.89
2016-04-15,4938.22
2016-04-18,4960.02
2016-04-19,4940.33
2016-04-20,4948.13
2016-04-21,4945.89
2016-04-22,4906.23
2016-04-25,4895.79
2016-04-26,4888.28
2016-04-27,4863.14
2016-04-28,4805.29
2016-04-29,4775.36
2016-05-02,4817.59
2016-05-03,4763.22
2016-05-04,4725.64
2016-05-05,4717.09
2016-05-06,4736.16
2016-05-09,4750.21
2016-05-10,4809.88
2016-05-11,4760.69
2016-05-12,4737.33
2016-05-13,4717.68
2016-05-16,4775.46
2016-05-17,4715.73
2016-05-18,4739.12
2016-05-19,4712.53
2016-05-20,4769.56
2016-05-23,4765.78
2016-05-24,4861.06
2016-05-25,4894.89
2016-05-26,4901.77
2016-05-27,4933.50
2016-05-30,.
2016-05-31,4948.05
2016-06-01,4952.25
2016-06-02,4971.36
2016-06-03,4942.52
2016-06-06,4968.71
2016-06-07,4961.75
2016-06-08,4974.64
2016-06-09,4958.62
2016-06-10,4894.55
2016-06-13,4848.44
2016-06-14,4843.55
2016-06-15,4834.93
2016-06-16,4844.91
2016-06-17,4800.34
2016-06-20,4837.21
2016-06-21,4843.76
2016-06-22,4833.32
2016-06-23,4910.04
2016-06-24,4707.98
2016-06-27,4594.44
2016-06-28,4691.87
2016-06-29,4779.25
2016-06-30,4842.67
2016-07-01,4862.57
2016-07-04,.
2016-07-05,4822.90
2016-07-06,4859.16
2016-07-07,4876.81
2016-07-08,4956.76
2016-07-11,4988.64
2016-07-12,5022.82
2016-07-13,5005.73
2016-07-14,5034.06
2016-07-15,5029.59
2016-07-18,5055.78
2016-07-19,5036.37
2016-07-20,5089.93
2016-07-21,5073.90
2016-07-22,5100.16
2016-07-25,5097.63
2016-07-26,5110.05
2016-07-27,5139.81
2016-07-28,5154.98
2016-07-29,5162.13
2016-08-01,5184.20
2016-08-02,5137.73
2016-08-03,5159.74
2016-08-04,5166.25
2016-08-05,5221.12
2016-08-08,5213.14
2016-08-09,5225.48
2016-08-10,5204.58
2016-08-11,5228.40
2016-08-12,5232.89
2016-08-15,5262.02
2016-08-16,5227.11
2016-08-17,5228.66
2016-08-18,5240.15
2016-08-19,5238.38
2016-08-22,5244.60
2016-08-23,5260.08
2016-08-24,5217.69
2016-08-25,5212.20
2016-08-26,5218.92
2016-08-29,5232.33
2016-08-30,5222.99
2016-08-31,5213.22
2016-09-01,5227.21
2016-09-02,5249.90
2016-09-05,.
2016-09-06,5275.91
2016-09-07,5283.93
2016-09-08,5259.48
2016-09-09,5125.91
2016-09-12,5211.89
2016-09-13,5155.25
2016-09-14,5173.77
2016-09-15,5249.69
2016-09-16,5244.57
2016-09-19,5235.03
2016-09-20,5241.35
2016-09-21,5295.18
2016-09-22,5339.52
2016-09-23,5305.75
2016-09-26,5257.49
2016-09-27,5305.71
2016-09-28,5318.55
2016-09-29,5269.15
2016-09-30,5312.00
2016-10-03,5300.87
2016-10-04,5289.66
2016-10-05,5316.02
2016-10-06,5306.85
